X:VCD, X:Glc, X:Lac, X:Titer, W:Feed
6.2415,7.2069,111.26,545.68,10.121
5.1313,11.909,119.43,625.37,0
4.1426,7.4893,126.1,691.25,0
3.256,3.978,131.41,741.72,0
2.4574,1.2968,135.52,775.63,0
0.58303,69.283,0,0,0
1.8381,68.227,1.5852,0.046,0
5.0401,65.129,6.2356,1.3706,9.0462
10.446,66.849,17.231,16.851,9.0462
15.258,63.376,36.024,86.766,9.0462
17.113,56.651,59.701,235.36,9.0462
16.432,49.456,84.085,435.83,9.0462
14.382,43.66,106.37,647.18,9.0462
11.86,40.114,125.28,840.92,9.0462
9.3956,38.989,140.56,1003.9,9.0462
7.2361,40.091,152.49,1133.3,9.0462
5.4533,43.085,161.58,1231.8,9.0462
4.0297,47.611,168.37,1303.9,0
2.9469,44.293,173.35,1354.6,0
2.1533,41.868,176.99,1389.2,0
0.21743,47.688,0,0,0
0.69581,47.293,0.59384,0.0091341,0
2.1076,46.062,2.442,0.15569,15.76
5.5373,58.356,7.6453,2.3932,15.76
10.944,66.277,19.413,22.401,15.76
15.126,69.283,38.558,99.945,15.76
15.731,69.961,61.196,246.5,15.76
13.632,71.488,82.561,422.35,15.76
10.37,75.692,99.907,583.92,15.76
6.9977,83.144,112.38,707.47,15.76
4.2162,93.593,120.35,788.27,0
2.4245,90.486,125.01,834.97,0
1.3978,88.698,127.69,860.55,0
0.80826,87.666,129.24,873.8,0
0.46837,87.068,130.14,879.9,0
0.37304,21.111,0,0,0
1.1493,20.447,0.99776,0.061255,0
3.2474,18.492,3.9392,0.76633,0
7.5291,13.509,11.437,8.2724,6.6911
12.903,10.403,26.193,50.383,6.6911
16.104,2.9739,47.548,163.81,6.6911
12.86,0.058391,69.029,219.34,6.6911
9.1831,0.14267,84.766,239.35,6.6911
6.6641,0.56394,96.035,275.25,6.6911
5.1494,1.9134,104.45,330.42,6.6911
4.1473,4.245,111.11,387.53,6.6911
3.3788,7.3689,116.5,438.39,0
2.7213,4.4718,120.89,480.09,0
2.1253,2.1858,124.37,510.88,0
1.5675,0.48937,127.03,528.89,0
0.8838,31.423,0,0,0
2.6961,29.851,2.3625,0.1921,0
6.8756,25.482,8.9275,4.031,16.384
12.966,32.399,23.148,35.256,16.384
17.68,33.85,45.581,142.97,16.384
18.937,32.411,72.356,337.61,16.384
17.474,31.189,98.806,575.36,16.384
14.743,32.082,122.08,809.17,16.384
11.763,35.769,141.15,1012.5,16.384
9.0266,42.217,156.08,1176.2,16.384
6.6832,51.1,167.34,1300.6,16.384
4.6912,62.054,175.49,1389.1,0
3.192,58.325,181.09,1447.1,0
2.2003,55.771,184.93,1483.4,0
1.5271,54.003,187.58,1505,0
0.81886,72.956,0,0,0
2.5469,71.481,2.2148,0.099285,0
6.5817,67.315,8.4685,2.9543,5.8543
12.353,64.106,22.072,29.856,5.8543
16.662,55.818,43.302,126.42,5.8543
17.943,44.845,68.569,303.8,5.8543
16.819,33.889,93.817,525.19,5.8543
14.43,24.711,116.4,747.4,5.8543
11.683,18.058,135.21,943.14,5.8543
9.1006,13.994,150.13,1101.8,5.8543
